tanggal,pasar,komoditas,harga
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL PAHA DEPAN,140000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL SANDUNG LAMUR,135000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL TETELAN,70000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI MURNI,155000.0
2026-08-13,Pasar Stasiun Majalaya,GARAM BATA,18000.0
2026-08-13,Pasar Stasiun Majalaya,GARAM HALUS YODIUM,2500.0
2026-08-13,Pasar Stasiun Majalaya,GAS LPG 3 Kg,22000.0
2026-08-13,Pasar Stasiun Majalaya,GULA MERAH,24000.0
2026-08-13,Pasar Stasiun Majalaya,GULA PASIR GULA KU,
2026-08-13,Pasar Stasiun Majalaya,GULA PASIR LOKAL,19000.0
