pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Banjaran,CABE MERAH TANJUNG,2026-09-09,90000.0,2026-09-10,87153,90000,619,484,28.0,2026-09-12,89616,90000,1251,979,27.7,2026-09-16,84449,90000,2000,1632,22.6
Pasar Baru Majalaya,CABE MERAH TANJUNG,2026-09-10,80000.0,2026-09-11,80989,80000,619,484,28.0,2026-09-13,86871,80000,1251,979,27.7,2026-09-17,95223,80000,2000,1632,22.6
Pasar Cileunyi,CABE MERAH TANJUNG,2026-09-10,80000.0,2026-09-11,80422,80000,619,484,28.0,2026-09-13,86089,80000,1251,979,27.7,2026-09-17,91996,80000,2000,1632,22.6
Pasar Ciwidey,CABE MERAH TANJUNG,2026-09-10,90000.0,2026-09-11,88379,90000,619,484,28.0,2026-09-13,86668,90000,1251,979,27.7,2026-09-17,93322,90000,2000,1632,22.6
Pasar Margahayu,CABE MERAH TANJUNG,2026-09-10,90000.0,2026-09-11,88304,90000,619,484,28.0,2026-09-13,88626,90000,1251,979,27.7,2026-09-17,91344,90000,2000,1632,22.6
Pasar Sehat Cicalengka,CABE MERAH TANJUNG,2026-09-10,80000.0,2026-09-11,80279,80000,619,484,28.0,2026-09-13,81570,80000,1251,979,27.7,2026-09-17,81811,80000,2000,1632,22.6
Pasar Sehat Soreang,CABE MERAH TANJUNG,2026-09-10,80000.0,2026-09-11,80614,80000,619,484,28.0,2026-09-13,86196,80000,1251,979,27.7,2026-09-17,83941,80000,2000,1632,22.6
Pasar Stasiun Majalaya,CABE MERAH TANJUNG,2026-09-10,90000.0,2026-09-11,89907,90000,619,484,28.0,2026-09-13,91118,90000,1251,979,27.7,2026-09-17,97655,90000,2000,1632,22.6
Pasar Baleendah,CABE RAWIT HIJAU,2026-09-10,45000.0,2026-09-11,44584,45000,619,484,28.0,2026-09-13,43153,45000,1251,979,27.7,2026-09-17,44513,45000,2000,1632,22.6
Pasar Banjaran,CABE RAWIT HIJAU,2026-09-09,48000.0,2026-09-10,47905,48000,619,484,28.0,2026-09-12,46058,48000,1251,979,27.7,2026-09-16,45887,48000,2000,1632,22.6
Pasar Baru Majalaya,CABE RAWIT HIJAU,2026-09-10,50000.0,2026-09-11,49522,50000,619,484,28.0,2026-09-13,48391,50000,1251,979,27.7,2026-09-17,49145,50000,2000,1632,22.6
Pasar Cileunyi,CABE RAWIT HIJAU,2026-09-10,50000.0,2026-09-11,49372,50000,619,484,28.0,2026-09-13,48455,50000,1251,979,27.7,2026-09-17,50400,50000,2000,1632,22.6
Pasar Ciwidey,CABE RAWIT HIJAU,2026-09-10,50000.0,2026-09-11,49259,50000,619,484,28.0,2026-09-13,48810,50000,1251,979,27.7,2026-09-17,48835,50000,2000,1632,22.6
